rate_name,class,quality,bathroom,bedding,capacity,club,bedrooms,balcony,view,floor
Family suite room with kitchen double (Main Building),suite,,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Deluxe Seaview Deluxe Seaview Breakfast Included (1 King),room,deluxe,private bathroom,double/double-or-twin,double,not club,,no balcony,sea view,
Standard triple room with garden view (bath),room,standard,private bathroom,,triple,not club,,no balcony,garden view,
room for two persons twin without window,room,standard,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
"Family Suite Partial Sea View With Balcony Family Suite Partial Sea View With Balcony,Room Only (1 Double or 1 Twin)",suite,,private bathroom,double/double-or-twin,double,not club,,balcony,partial-sea view,
Junior Suite (3 adults + 1 child) (4 Twin Beds),junior-suite,,private bathroom,,quadruple,not club,,no balcony,,
Sloane Suite,suite,,private bathroom,,,not club,,no balcony,,
Conte Suite,suite,,private bathroom,,,not club,,no balcony,,
Deluxe Palm Sea View Suite Double Half Board,suite,deluxe,private bathroom,double/double-or-twin,double,not club,,no balcony,sea view,
"Family Room, 1 King Bed, Non Smoking, City View(with breakfast)",room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,city view,
Comfort Double bed,room,comfort,private bathroom,double/double-or-twin,double,not club,,no balcony,,
"Grand Suite, 1 Twin Bed, Smoking (1 Twin Bed)",suite,grand,private bathroom,single bed,single,not club,,no balcony,,
4 BEDROOM SUITE -  SUPERIOR Breakfast,suite,,private bathroom,,,not club,4 bedrooms,no balcony,,
"Apartment, 1 Bedroom, Balcony (2 Adults + 2 Children) (2 Twin Beds and 1 Double Sofa Bed)",apartment,,private bathroom,twin/twin-or-double,double,not club,1 bedroom,balcony,,
sharedBed in 4-bed dormitory   in block,dorm,,shared bathroom,,,not club,,no balcony,,
"Executive Suite, 1 Bedroom, Mountain View (1 King Bed)",suite,executive,private bathroom,double/double-or-twin,double,not club,1 bedroom,no balcony,mountain view,
"Deluxe Deluxe Room, 1 King Bed, Sea View Sea",room,deluxe,private bathroom,double/double-or-twin,double,not club,,no balcony,sea view,
2 Queen With Drinks And Snacks 2 Queen With Drinks And Snacks,room,standard,private bathroom,,double,not club,,no balcony,,
Family FAMILY ROOM,room,standard,private bathroom,,,not club,,no balcony,,
Executive Executive Room Golden Horn View,room,executive,private bathroom,,,not club,,no balcony,,
Apartment Corporate (without kitchen) double,apartment,,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Studio apartment twin,studio,,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
Premier Lagoon View Room Premier Lagoon View Double (1 Double),room,premier,private bathroom,double/double-or-twin,double,not club,,no balcony,bay view,
"Deluxe Deluxe King Room City View, 1 Double Bed City",room,deluxe,private bathroom,double/double-or-twin,double,not club,,no balcony,city view,
Family Family Connecting Room,room,standard,private bathroom,,,not club,,no balcony,,
Pool Water Villa - Seaplane Transfer included Full Board,villa,,private bathroom,,,not club,,no balcony,,
Twin/Double room - Tropical Twin/Double room - Tropical,room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
"1 Queen Bed, Non-Smoking, Superior Room, Work Desk (1 Double)",room,superior,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Classic Double Room Double Room (1 Double),room,classic,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Double Standard (Labyrinth) (1 Queen Bed),room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Single room - De Luxe - Sea View Single room - De Luxe - Sea View sea,room,deluxe,private bathroom,,single,not club,,no balcony,sea view,
"LUXURY ROOM - Queen Size or European King Size Bed Luxury Room - Queen Size Or European King Sizebed,Room Only (1 Double)",room,luxury,private bathroom,double/double-or-twin,double,not club,,no balcony,,
"Club Room, 2 Twin Beds, Lounge access, City view",room,standard,private bathroom,twin/twin-or-double,double,club,,no balcony,city view,
Deluxe family room (attic) twin,room,deluxe,private bathroom,twin/twin-or-double,double,not club,,no balcony,,attic floor
Apartment - Double - Smoking (1 Double),apartment,,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Executive Room Breakfast,room,executive,private bathroom,,,not club,,no balcony,,
Twin/Double room - King - Accessible Twin/Double room - King - Accessible,room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Family nomer-studio,studio,,private bathroom,,,not club,,no balcony,,
Standard room for two persons for disabled guests Double bed,room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Standard Room - Twin Bed,room,standard,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
JUNIOR SUITE QUEEN SIZE BED,junior-suite,,private bathroom,double/double-or-twin,double,not club,,no balcony,,
"Room, 2 Twin Beds(Room Only)",room,standard,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
Premium One-Bedroom Suite non-smoking,suite,premium,private bathroom,,,not club,1 bedroom,no balcony,,
"Deluxe Room, 1 King Bed, Ocean View (Spa)",room,deluxe,private bathroom,double/double-or-twin,double,not club,,no balcony,ocean view,
"Deluxe Twin Room, 1 Bedroom (1 Double Bed and 1 Twin Bed)",room,deluxe,private bathroom,single bed,double,not club,1 bedroom,no balcony,,
Standard Room,room,standard,private bathroom,,,not club,,no balcony,,
BALL DROP VIEW CORNER 1 BEDROOM SUITE,suite,,private bathroom,,,not club,1 bedroom,no balcony,,
marmara suite with butler service,suite,,private bathroom,,,not club,,no balcony,,
Junior suite family room double,junior-suite,,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Standard DOUBLE TWO DOUBLE BEDS,room,standard,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
Single Economy One single bed,room,economy,private bathroom,single bed,single,not club,,no balcony,,
"Skyline Room, Burj Khalifa View",room,standard,private bathroom,,,not club,,no balcony,burj-khalifa view,
Quadruple Apartment Quadruple Apartment,apartment,,private bathroom,,quadruple,not club,,no balcony,,
Standard RAFFLES CLUB Club,room,standard,private bathroom,,,not club,,no balcony,,
Twin/Double room - Side Sea View Twin/Double room - Side Sea View sea,room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,partial-sea view,
"standard double room, non smoking, city view",room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,city view,
Deluxe King Room Deluxe King Room,room,deluxe,private bathroom,double/double-or-twin,double,not club,,no balcony,,
"Economy Double Room, 1 Double Bed, Non Smoking",room,economy,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Two Bedroom Deluxe Deluxe Connection two bedroom,room,deluxe,private bathroom,,,not club,2 bedrooms,no balcony,,
Deluxe Suite DELUXE FAMILY SUITE,suite,deluxe,private bathroom,,,not club,,no balcony,,
Suite - Twin - De Luxe - Pool Suite - Twin - De Luxe - Pool pool,suite,deluxe,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
Double room King bed - Fabulous Double room King bed - Fabulous,room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
"2 Twin Beds With View Room, 2 Twin Beds, View (1 Twin)",room,standard,private bathroom,twin/twin-or-double,double,not club,,no balcony,with view,
Club Hard Rock Club 2 Queen Room,room,standard,private bathroom,,double,not club,,no balcony,,
Double Room Standard Breakfast,room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Executive King Room non-smoking,room,executive,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Spacious One Bedroom Apartment non-smoking,apartment,,private bathroom,,,not club,1 bedroom,no balcony,,
Premier Premier Lagoon Access Room,room,premier,private bathroom,,,not club,,no balcony,,
Standard Room with twin beds Standard Room with twin beds,room,standard,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
"Standard Double Room, Balcony (2 Twin Beds)",room,standard,private bathroom,twin/twin-or-double,double,not club,,balcony,,
Economy economy room with 2 twin beds twin,room,economy,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
Guest Room Double Breakfast,room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Standard room for two persons,room,standard,private bathroom,,double,not club,,no balcony,,
Deluxe Deluxe Evergreen Room,room,deluxe,private bathroom,,,not club,,no balcony,,
One Bedroom Gulf Suite Room Only,suite,,private bathroom,,,not club,1 bedroom,no balcony,,
"Room, 2 Twin Beds, View",room,standard,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
"Classic Room, 2 Twin Beds (2 Twin Beds)",room,classic,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
2-room Family Basic Rate without breakfast,room,standard,private bathroom,,,not club,2 bedrooms,no balcony,,
Single room - Superior - City View Single room - Superior - City View city,room,superior,private bathroom,,single,not club,,no balcony,city view,
club premier square view twin,room,premier,private bathroom,twin/twin-or-double,double,not club,,no balcony,with view,
Wellnes Suite - Jacques Zwobada,suite,,private bathroom,,,not club,,no balcony,,
Superior Double Room (Cubik) (1 Queen Bed),room,superior,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Deluxe Twin/Double room - De Luxe - Premium,room,deluxe,private bathroom,double/double-or-twin,double,not club,,no balcony,,
One Bedroom Suite 1 Bedroom Suite with 1 King Bed,suite,,private bathroom,double/double-or-twin,double,not club,1 bedroom,no balcony,,
Family room - Grand Family room - Grand,room,grand,private bathroom,,,not club,,no balcony,,
"Classic Room, 2 Twin Beds (2 Twin Beds)",room,classic,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
Twin/Double room - Preferred Twin/Double room - Preferred,room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
One-Bedroom King Suite with Balcony 2 with 20% discount on FandB Half Board,suite,,private bathroom,double/double-or-twin,double,not club,1 bedroom,balcony,,
Classic Classic Room - Queen Bed,room,classic,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Apartment Superior Double Room,apartment,superior,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Deluxe Room Paris view – Atelier,room,deluxe,private bathroom,,,not club,,no balcony,,
Superior Twin Superior,room,superior,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
Luxury Suite Luxury Pool Junior Suite(1 King Bed),junior-suite,luxury,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Double room King bed - De Luxe - Accessible Double room King bed - De Luxe - Accessible,room,deluxe,private bathroom,double/double-or-twin,double,not club,,no balcony,,
ECONOMY+ (facilities on floor) Basic rate without breakfast,room,economy,shared bathroom,,,not club,,no balcony,,
"Premium Room, 1 King Bed, Ocean View (Newly Renovated) (1 King Bed)",room,premium,private bathroom,double/double-or-twin,double,not club,,no balcony,ocean view,
Royal Suite,suite,royal,private bathroom,,,not club,,no balcony,,
FAIRMONT VIEW ROOM Half Board,room,standard,private bathroom,,,not club,,no balcony,,
Standard room for two persons double Double bed,room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Deluxe Jacuzzi,room,deluxe,private bathroom,,,not club,,no balcony,,
Double room King bed - Premium - High floor Double room King bed - Premium - High floor,room,premium,private bathroom,double/double-or-twin,double,not club,,no balcony,,
3 Bedrooms Pool Villa Garden View(3 King Beds),villa,,private bathroom,,double,not club,3 bedrooms,no balcony,garden view,
"Apartments family Double bed Twin beds King size bed 1,5 single bed",apartment,,private bathroom,multiple,single,not club,,no balcony,,
Two Bedroom Suite - Two Kings - Hearing Accessible Two Bedroom Suite - Two Kings - Hearing Accessible,suite,,private bathroom,,,not club,2 bedrooms,no balcony,,
Deluxe Two Bedroom Suite Breakfast,suite,deluxe,private bathroom,,,not club,2 bedrooms,no balcony,,
Standard room with 1 double bed double,room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Deluxe DELUXE PREMIER KING,room,deluxe,private bathroom,,,not club,,no balcony,,
"Classic Room, 2 Single Beds, Balcony",room,classic,private bathroom,twin/twin-or-double,double,not club,,balcony,,
Deluxe Room - Garden View Large Double(1 Amount),room,deluxe,private bathroom,double/double-or-twin,double,not club,,no balcony,garden view,
1 King Bed Standard Highway View Non Smoking (1 King Bed),room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
"Deluxe Twin Room, 2 Single Beds, Sea View Half Board",room,deluxe,private bathroom,twin/twin-or-double,double,not club,,no balcony,sea view,
3-room standard apartment,apartment,standard,private bathroom,,,not club,3 bedrooms,no balcony,,
"Standard Room, 1 Queen Bed, Accessible (Communication, Accessible Tub)",room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Deluxe Deluxe Room RO - Special Offer WSJULF,room,deluxe,private bathroom,,,not club,,no balcony,,
Deluxe Room - Sea View,room,deluxe,private bathroom,,,not club,,no balcony,sea view,
Lutyen's Suite,suite,,private bathroom,,,not club,,no balcony,,
"Room, Pool View (Sol, 2 adults + 1 child) (2 Twin Beds and 1 Twin Sofa Bed)",room,standard,private bathroom,,double,not club,,no balcony,pool view,
Pool View Twin Room Pool View Twin Room,room,standard,private bathroom,twin/twin-or-double,double,not club,,no balcony,pool view,
Standard Poolside Room with Terrace - King,room,standard,private bathroom,,,not club,,no balcony,pool view,
Single CLUB ARABIAN ROOM,room,standard,private bathroom,,single,not club,,no balcony,,
2 Bedroom Family Suite 2 Bedroom Family Suite,suite,,private bathroom,,,not club,2 bedrooms,no balcony,,
"Apartment, 1 Bedroom, Balcony, Sea View (2 adults + 1 child) (2 Twin Beds and 1 Double Sofa Bed)",apartment,,private bathroom,twin/twin-or-double,double,not club,1 bedroom,balcony,sea view,
